ADC.steerAngle, ADC.airSpeed, ADC.brakePressB, ADC.fuelTankLevel, ADC.shockDispFL, ADC.shockDispFR, ADC.shockDispBR, ADC.shockDispBL, ADC.channel9, ADC.channel10, ADC.channel11, ADC.channel12, INA.brakePressF, IMU.xAccel, IMU.yAccel, IMU.zAccel, IMU.xRot, IMU.yRot, IMU.zRot, IMU.temp, ECU.RPM, ECU.ECT, ECU.batVolt, GPS.speed, GPS.speedAccel, GPS.latitude, GPS.longitude
0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0,0, 0, 0,0,1918905008
0.000000, 0.498015, 0.591018, 1.479045, 0.000000, 0.000000, 0.000000, 0.935279, 0.000000, 0.000000, 0.540016, 0.540016, 0.000000, -0.001953, 0.000000, 1.003906, 90.000000, 90.000000, 0.000000, 0.000000, 0, 0,0, 0, 0,0,1918904912
1.470045, 0.705022, 0.666020, 1.176036, 4.982965, 4.982965, 4.982965, 1.135160, 0.516016, 0.516016, 0.516016, 0.555954, -0.100000, -0.001953, 0.000000, 1.003906, 90.000000, 90.000000, 0.000000, 0.000000, 0, 0,0, 0, 0,0,1918904912
1.062032, 0.723022, 0.723022, 0.969030, 4.981464, 4.981464, 4.981464, 1.159910, 0.518641, 0.518641, 0.518641, 0.569455, -0.100000, -0.001953, 0.000000, 1.003906, 90.000000, 90.000000, 0.000000, 0.000000, 0, 0,0, 0, 0,0,1918904912
0.795024, 0.693021, 0.744023, 0.882027, 4.982965, 4.982965, 4.982965, 1.182411, 0.516391, 0.516391, 0.516391, 0.560267, -0.100000, -0.001953, 0.000000, 1.003906, 90.000000, 90.000000, -18.059999, 0.000000, 0, 0,0, 0, 0,0,1918904912
0.615019, 0.744023, 0.807025, 0.924028, 1.182411, 1.182411, 1.182411, 1.182411, 0.560267, 0.560267, 0.560267, 0.560267, -0.100000, -0.001953, 0.000000, 1.003906, 90.000000, 90.000000, -0.070000, 0.000000, 104, 12,0, 0, 0,0,1918904912
0.753023, 0.672020, 0.786024, 0.834025, 1.401793, 1.401793, 1.401793, 1.219912, 0.555579, 0.555579, 0.555579, 0.545454, 0.000000, -0.001953, -0.001953, 1.003906, 125.264381, 90.111473, 0.000000, 0.000000, 0, 0,0, 0, 0,0,1918904912
0.621019, 0.741023, 0.825025, 0.831025, 4.979964, 4.979964, 4.979964, 1.290977, 0.545454, 0.545454, 0.545454, 0.546954, 0.000000, -0.001953, 0.000000, 1.003906, 90.000000, 90.000000, -0.070000, 0.000000, 0, 0,0, 0, 0,0,1918904912
0.600018, 0.687021, 0.798024, 0.813025, 1.290977, 1.290977, 1.290977, 1.195536, 0.546954, 0.546954, 0.546954, 0.551454, -0.100000, -0.001953, 0.000000, 1.003906, 90.000000, 90.000000, -0.070000, 0.000000, 0, 0,0, 0, 0,0,1918904912
0.618019, 0.738023, 0.816025, 0.804025, 4.980527, 4.980527, 4.980527, 1.241475, 0.551454, 0.551454, 0.551454, 0.557642, 0.000000, -0.001953, 0.000000, 1.003906, 90.000000, 90.000000, 17.990000, 0.000000, 0, 0,0, 0, 0,0,1918904912
0.591018, 0.693021, 0.792024, 0.810025, 1.241475, 1.241475, 1.241475, 1.176973, 0.522016, 0.522016, 0.522016, 0.522016, 0.000000, 0.000000, 0.000000, 1.003906, 0.000000, 90.000000, -0.070000, 0.000000, 104, 12,0, 0, 0,0,1918904912
0.588018, 0.681021, 0.777024, 0.780024, 4.982965, 4.982965, 4.982965, 1.230225, 0.564017, 0.564017, 0.564017, 0.564017, 0.000000, -0.001953, 0.000000, 1.035156, 90.000000, 90.000000, 0.000000, 0.000000, 0, 0,0, 0, 0,0,1918904912
0.603018, 0.684021, 0.804025, 0.774024, 1.230225, 1.230225, 1.230225, 1.217100, 0.550142, 0.550142, 0.550142, 0.549204, -0.100000, -0.001953, 0.000000, 1.035156, 90.000000, 90.000000, 17.990000, 0.000000, 0, 0,0, 0, 0,0,1918904912
0.600018, 0.690021, 0.783024, 0.786024, 1.217100, 1.217100, 1.217100, 1.233975, 0.549204, 0.549204, 0.549204, 0.549204, 0.000000, -0.001953, 0.000000, 1.003906, 90.000000, 90.000000, -18.059999, 0.000000, 0, 0,0, 0, 0,0,1918904912
0.609019, 0.705022, 0.834025, 0.786024, 1.233975, 1.233975, 1.233975, 1.277851, 0.550704, 0.550704, 0.550704, 0.555204, -0.100000, -0.001953, 0.000000, 1.003906, 90.000000, 90.000000, 0.000000, 0.000000, 0, 0,0, 0, 0,0,1918904912
0.582018, 0.672020, 0.771024, 0.723022, 4.981840, 4.981840, 4.981840, 1.253663, 0.555204, 0.555204, 0.555204, 0.547517, -0.100000, -0.001953, 0.000000, 1.003906, 90.000000, 90.000000, -18.059999, 0.000000, 104, 12,0, 0, 0,0,1918904912
0.591018, 0.678021, 0.789024, 0.807025, 1.253663, 1.253663, 1.253663, 1.269414, 0.523141, 0.523141, 0.523141, 0.566830, -0.100000, -0.001953, 0.000000, 1.003906, 90.000000, 90.000000, -0.070000, 0.000000, 0, 0,0, 0, 0,0,1918904912
