ADC.steerAngle, ADC.airSpeed, ADC.brakePressB, ADC.fuelTankLevel, ADC.shockDispFL, ADC.shockDispFR, ADC.shockDispBR, ADC.shockDispBL, ADC.channel9, ADC.channel10, ADC.channel11, ADC.channel12, INA.brakePressF, IMU.xAccel, IMU.yAccel, IMU.zAccel, IMU.xRot, IMU.yRot, IMU.zRot, IMU.temp, ECU.RPM, ECU.ECT, ECU.batVolt, GPS.speed, GPS.speedAccel, GPS.latitude, GPS.longitude
1.971060, 0.579018, 0.621019, 2.034062, 1.329041, 1.329041, 1.329041, 1.263789, 0.549579, 0.549579, 0.549579, 0.551829, 0.000000, -0.001953, 0.000000, 1.035156, 90.000000, 90.000000, 35.980000, 0.000000, 0, 0,0, 0, 0,0,1918904912
1.956060, 0.582018, 0.615019, 2.031062, 1.263789, 1.263789, 1.263789, 1.263789, 0.837963, 0.837963, 0.837963, 0.837963, -0.100000, -0.001953, -0.001953, 1.035156, 125.264381, 90.108101, 17.990000, 0.000000, 0, 0,0, 0, 0,0,1918904912
1.959060, 0.576018, 0.624019, 2.022062, 1.409106, 1.409106, 1.409106, 1.334103, 0.583705, 0.583705, 0.583705, 0.583705, -0.100000, -0.033203, 0.000000, 1.035156, 90.000000, 90.000000, -36.049999, 0.000000, 0, 0,0, 0, 0,0,1918904912
1.950060, 0.573017, 0.621019, 2.007061, 1.334103, 1.334103, 1.334103, 1.334103, 0.550517, 0.550517, 0.550517, 0.551829, -0.100000, -0.001953, 0.000000, 1.035156, 90.000000, 90.000000, -54.040001, 0.000000, 0, 0,0, 0, 0,0,1918904912
1.953060, 0.582018, 0.609019, 2.010061, 1.318353, 1.318353, 1.318353, 1.254038, 0.551829, 0.551829, 0.551829, 0.546392, -0.100000, -0.001953, 0.000000, 1.035156, 90.000000, 90.000000, -0.070000, 0.000000, 82, 13,0, 0, 0,0,1918904912
1.950060, 0.591018, 0.615019, 2.007061, 1.093721, 1.093721, 1.093721, 1.255538, 0.546392, 0.546392, 0.546392, 0.548267, -0.100000, -0.033203, 0.000000, 1.035156, 90.000000, 90.000000, 53.970001, 0.000000, 0, 0,0, 0, 0,0,1918904912
1.941059, 0.576018, 0.630019, 2.004061, 0.927778, 0.927778, 0.927778, 0.927778, 0.548267, 0.548267, 0.548267, 0.548267, -0.100000, -0.033203, 0.000000, 1.035156, 90.000000, 90.000000, -0.070000, 0.000000, 0, 0,0, 0, 0,0,1918904912
1.923059, 0.588018, 0.615019, 2.007061, 1.299415, 1.299415, 1.299415, 1.299415, 0.549954, 0.549954, 0.549954, 0.547517, -0.100000, -0.033203, 0.000000, 1.035156, 90.000000, 90.000000, 53.970001, 0.000000, 0, 0,0, 0, 0,0,1918904912
1.941059, 0.579018, 0.615019, 2.001061, 1.318728, 1.318728, 1.318728, 1.318728, 0.547517, 0.547517, 0.547517, 0.547517, -0.100000, -0.001953, 0.000000, 1.035156, 90.000000, 90.000000, 53.970001, 0.000000, 0, 0,0, 0, 0,0,1918904912
1.932059, 0.579018, 0.627019, 1.992061, 1.312353, 1.312353, 1.312353, 1.312353, 0.546204, 0.546204, 0.546204, 0.546204, 0.000000, -0.001953, 0.000000, 1.035156, 90.000000, 90.000000, 53.970001, 0.000000, 82, 13,0, 0, 0,0,1918904912
1.944059, 0.576018, 0.627019, 1.992061, 1.330166, 1.330166, 1.330166, 1.280102, 0.543767, 0.543767, 0.543767, 0.548454, -0.100000, -0.001953, 0.000000, 1.035156, 90.000000, 90.000000, 0.000000, 0.000000, 0, 0,0, 0, 0,0,1918904912
1.929059, 0.588018, 0.618019, 1.989061, 1.280102, 1.280102, 1.280102, 1.351916, 0.548454, 0.548454, 0.548454, 0.548454, -0.100000, -0.033203, 0.000000, 1.035156, 90.000000, 90.000000, -0.070000, 0.000000, 0, 0,0, 0, 0,0,1918904912
1.935059, 0.582018, 0.621019, 1.992061, 1.351916, 1.351916, 1.351916, 1.320228, 0.546017, 0.546017, 0.546017, 0.546017, -0.100000, -0.033203, 0.000000, 1.035156, 90.000000, 90.000000, -0.070000, 0.000000, 0, 0,0, 0, 0,0,1918904912
1.935059, 0.585018, 0.621019, 1.995061, 1.320228, 1.320228, 1.320228, 1.320228, 0.541892, 0.541892, 0.541892, 0.541892, -0.100000, -0.001953, 0.000000, 1.066406, 90.000000, 90.000000, -54.040001, 0.000000, 0, 0,0, 0, 0,0,1918904912
1.923059, 0.582018, 0.609019, 1.986061, 1.283664, 1.283664, 1.283664, 1.296415, 0.550892, 0.550892, 0.550892, 0.547704, 0.000000, -0.033203, 0.000000, 1.035156, 90.000000, 90.000000, -18.059999, 0.000000, 82, 13,0, 0, 0,0,1918904912
1.908058, 0.576018, 0.621019, 1.983060, 1.296415, 1.296415, 1.296415, 1.296415, 0.547704, 0.547704, 0.547704, 0.547704, 0.000000, -0.001953, 0.000000, 1.035156, 90.000000, 90.000000, -0.070000, 0.000000, 0, 0,0, 0, 0,0,1918904912
1.935059, 0.582018, 0.618019, 1.989061, 1.317415, 1.317415, 1.317415, 1.317415, 0.547892, 0.547892, 0.547892, 0.547892, -0.100000, -0.001953, 0.000000, 1.035156, 90.000000, 90.000000, 71.959999, 0.000000, 0, 0,0, 0, 0,0,1918904912
1.929059, 0.582018, 0.609019, 1.977060, 1.346854, 1.346854, 1.346854, 1.259851, 0.545079, 0.545079, 0.545079, 0.545079, -0.100000, -0.033203, 0.000000, 1.035156, 90.000000, 90.000000, 71.959999, 0.000000, 0, 0,0, 0, 0,0,1918904912
1.920059, 0.579018, 0.633019, 1.971060, 1.259851, 1.259851, 1.259851, 1.322290, 0.543204, 0.543204, 0.543204, 0.549392, -0.100000, -0.001953, 0.000000, 1.035156, 90.000000, 90.000000, -54.040001, 0.000000, 0, 0,0, 0, 0,0,1918904912
1.914058, 0.576018, 0.621019, 1.968060, 1.322290, 1.322290, 1.322290, 1.322290, 0.549392, 0.549392, 0.549392, 0.550517, -0.100000, -0.001953, 0.000000, 1.035156, 90.000000, 90.000000, 0.000000, 0.000000, 82, 13,0, 0, 0,0,1918904912
1.917058, 0.591018, 0.612019, 1.971060, 1.322478, 1.322478, 1.322478, 1.236413, 0.830838, 0.830838, 0.830838, 0.579393, -0.100000, -0.001953, 0.000000, 1.035156, 90.000000, 90.000000, 0.000000, 0.000000, 0, 0,0, 0, 0,0,1918904912
