ADC.steerAngle, ADC.airSpeed, ADC.brakePressB, ADC.fuelTankLevel, ADC.shockDispFL, ADC.shockDispFR, ADC.shockDispBR, ADC.shockDispBL, ADC.channel9, ADC.channel10, ADC.channel11, ADC.channel12, INA.brakePressF, IMU.xAccel, IMU.yAccel, IMU.zAccel, IMU.xRot, IMU.yRot, IMU.zRot, IMU.temp, ECU.RPM, ECU.ECT, ECU.batVolt, GPS.speed, GPS.speedAccel, GPS.latitude, GPS.longitude
0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0,0, 0, 0,0,1918905008
0.000000, 0.501015, 0.585018, 1.272039, 0.000000, 0.000000, 0.000000, 0.972592, 0.000000, 0.000000, 0.000000, 0.553892, -0.100000, -0.001953, 0.000000, 1.003906, 90.000000, 90.000000, -0.070000, 0.000000, 0, 0,0, 0, 0,0,1918904912
1.170036, 0.717022, 0.696021, 1.077033, 4.980527, 4.980527, 4.980527, 1.125597, 0.519391, 0.519391, 0.519391, 0.564392, -0.100000, -0.001953, 0.000000, 1.003906, 90.000000, 90.000000, 0.000000, 0.000000, 0, 0,0, 0, 0,0,1918904912
0.897027, 0.786024, 0.723022, 0.939029, 4.978277, 4.978277, 4.978277, 1.241850, 0.519203, 0.519203, 0.519203, 0.561392, -0.100000, -0.001953, 0.000000, 1.003906, 90.000000, 90.000000, -0.070000, 0.000000, 0, 0,0, 0, 0,0,1918904912
0.744023, 0.768023, 0.762023, 0.858026, 4.977152, 4.977152, 4.977152, 1.268476, 0.561392, 0.561392, 0.561392, 0.571142, -0.100000, -0.001953, 0.000000, 1.003906, 90.000000, 90.000000, 0.000000, 0.000000, 0, 0,0, 0, 0,0,1918904912
0.633019, 0.705022, 0.783024, 0.828025, 4.980714, 4.980714, 1.009718, 1.009718, 0.519016, 0.519016, 0.519016, 0.564205, -0.100000, -0.001953, 0.000000, 1.003906, 90.000000, 90.000000, -0.070000, 0.000000, 104, 12,0, 0, 0,0,1918904912
0.636019, 0.801024, 0.759023, 0.819025, 4.978465, 4.978465, 4.978465, 1.220662, 0.525954, 0.525954, 0.525954, 0.565517, -0.100000, -0.001953, 0.000000, 1.003906, 90.000000, 90.000000, 17.990000, 0.000000, 0, 0,0, 0, 0,0,1918904912
0.618019, 0.702021, 0.813025, 0.795024, 4.979589, 4.979589, 4.979589, 1.241100, 0.565517, 0.565517, 0.565517, 0.556892, -0.100000, -0.001953, 0.000000, 1.003906, 90.000000, 90.000000, 17.990000, 0.000000, 0, 0,0, 0, 0,0,1918904912
0.594018, 0.726022, 0.813025, 0.816025, 4.976777, 4.976777, 1.133285, 1.133285, 0.521266, 0.521266, 0.521266, 0.565892, -0.100000, -0.001953, 0.000000, 1.035156, 90.000000, 90.000000, 0.000000, 0.000000, 0, 0,0, 0, 0,0,1918904912
0.579018, 0.768023, 0.828025, 0.807025, 4.980527, 4.980527, 4.980527, 1.230413, 0.519578, 0.519578, 0.519578, 0.563267, -0.100000, -0.001953, 0.000000, 1.003906, 90.000000, 90.000000, 0.000000, 0.000000, 0, 0,0, 0, 0,0,1918904912
0.585018, 0.738023, 0.822025, 0.804025, 4.978089, 4.978089, 1.164973, 1.164973, 0.519578, 0.519578, 0.562330, 0.562330, -0.100000, -0.001953, 0.000000, 1.003906, 90.000000, 90.000000, -0.070000, 0.000000, 104, 12,0, 0, 0,0,1918904912
0.597018, 0.669020, 0.807025, 0.786024, 4.978839, 4.978839, 4.978839, 1.173786, 0.522578, 0.522578, 0.522578, 0.566080, -0.100000, -0.001953, 0.000000, 1.003906, 90.000000, 90.000000, 0.000000, 0.000000, 0, 0,0, 0, 0,0,1918904912
