ADC.steerAngle, ADC.airSpeed, ADC.brakePressB, ADC.fuelTankLevel, ADC.shockDispFL, ADC.shockDispFR, ADC.shockDispBR, ADC.shockDispBL, ADC.channel9, ADC.channel10, ADC.channel11, ADC.channel12, INA.brakePressF, IMU.xAccel, IMU.yAccel, IMU.zAccel, IMU.xRot, IMU.yRot, IMU.zRot, IMU.temp, ECU.RPM, ECU.ECT, ECU.batVolt
0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0,0
0.810025, 0.711022, 0.867026, 1.878057, 0.000000, 1.008218, 1.008218, 4.854898, 0.000000, 1.116597, 1.116597, 0.528204, -0.100000, -0.722656, -0.972656, 0.595703, 128.754013, 136.083954, -0.070000, 0.000000, 0, 0,0
0.891027, 0.723022, 0.861026, 1.827056, 4.854898, 0.901340, 0.901340, 4.842335, 0.528204, 1.072908, 1.072908, 0.527829, -0.100000, -0.283203, -0.941406, 1.599609, 133.759430, 120.092728, -0.070000, 0.000000, 0, 0,0
0.891027, 0.723022, 0.870027, 1.836056, 4.842335, 0.849026, 0.849026, 4.853210, 0.527829, 1.054907, 1.054907, 0.524078, -0.100000, 2.445312, -0.722656, 0.908203, 105.823273, 105.484680, 0.000000, 0.000000, 0, 0,0
0.882027, 0.732022, 0.858026, 1.836056, 4.853210, 0.880714, 0.880714, 4.847023, 0.524078, 1.051720, 1.051720, 0.522203, 0.000000, 0.814453, -0.535156, 1.003906, 118.772865, 112.488205, 35.980000, 0.000000, 0, 0,0
0.885027, 0.741023, 0.864026, 1.827056, 4.847023, 0.862526, 0.862526, 4.849273, 0.562892, 1.059595, 1.059595, 0.536454, -0.100000, -0.816406, -1.539062, 2.132812, 131.457565, 123.977051, -18.059999, 0.010445, 0, 0,0
0.891027, 0.741023, 0.861026, 1.797055, 4.849273, 0.864589, 0.864589, 4.822460, 0.536454, 1.058470, 1.058470, 0.522766, -0.100000, 0.626953, 0.564453, -0.753906, 56.213810, 60.072708, -0.070000, 0.000000, 0, 0,0
0.891027, 0.750023, 0.864026, 1.806055, 4.822460, 0.859151, 0.859151, 4.847210, 0.522766, 1.051345, 1.051345, 0.524266, -0.100000, 0.093750, 0.312500, 1.441406, 46.234020, 77.792480, 0.000000, 0.000000, 0, 0,0
0.891027, 0.756023, 0.870027, 1.809055, 4.847210, 0.847338, 0.847338, 4.845523, 0.524266, 1.044219, 1.044219, 0.529891, -0.100000, -0.095703, 0.533203, 1.378906, 45.454159, 68.905502, 53.970001, 0.000000, 0, 0,0
0.888027, 0.753023, 0.861026, 1.812055, 4.845523, 0.853151, 0.853151, 4.854898, 0.529891, 1.044782, 1.044782, 0.528954, -0.100000, 1.347656, 1.253906, 0.218750, 55.737961, 47.435181, 0.000000, 0.000000, 0, 0,0
0.888027, 0.753023, 0.870027, 1.815055, 4.854898, 0.849213, 0.849213, 4.850398, 0.528954, 1.047220, 1.047220, 0.524641, -0.100000, 0.814453, 1.035156, 0.845703, 51.835960, 48.599064, 0.000000, 0.030426, 0, 0,0
0.885027, 0.744023, 0.864026, 1.824056, 4.850398, 0.846026, 0.846026, 4.840273, 0.524641, 1.075908, 0.520516, 0.523516, -0.100000, 0.939453, 1.097656, 1.568359, 52.774841, 59.019310, -0.070000, 0.000000, 0, 0,0
0.885027, 0.729022, 0.870027, 1.839056, 4.840273, 0.830838, 0.830838, 4.852273, 0.523516, 1.053970, 1.053970, 0.524266, -0.100000, 1.378906, 0.908203, 1.599609, 61.186966, 66.730347, 17.990000, 0.000000, 0, 0,0
0.888027, 0.744023, 0.861026, 1.803055, 4.852273, 0.882402, 0.882402, 4.858273, 0.524266, 1.028656, 1.028656, 0.528391, -0.100000, -0.064453, 0.908203, 1.222656, 45.071964, 53.432659, 0.000000, 0.000000, 0, 0,0
0.894027, 0.744023, 0.870027, 1.827056, 4.858273, 0.865151, 0.865151, 4.845335, 0.528391, 1.038032, 1.038032, 0.525204, -0.100000, 0.970703, 1.787109, 1.724609, 48.692989, 47.917171, -18.059999, 0.000000, 0, 0,0
0.897027, 0.747023, 0.858026, 1.821056, 4.845335, 0.836276, 0.836276, 4.848523, 0.525204, 1.046469, 1.046469, 0.524641, -0.100000, -0.158203, 1.755859, 0.908203, 45.115810, 27.700827, 0.000000, 0.054063, 0, 0,0
0.882027, 0.747023, 0.870027, 1.854057, 4.848523, 0.862714, 0.862714, 4.848335, 0.524641, 1.049282, 1.049282, 0.522391, -0.100000, -0.220703, 1.378906, 1.253906, 45.362320, 42.717121, -0.070000, 0.000000, 0, 0,0
0.885027, 0.747023, 0.861026, 1.809055, 4.848335, 0.866651, 0.866651, 4.849273, 0.522391, 1.040282, 1.040282, 0.526516, 0.000000, 1.253906, 0.720703, 0.658203, 63.512054, 63.027855, -0.070000, 0.000000, 0, 0,0
0.894027, 0.735022, 0.864026, 1.815055, 4.849273, 0.855026, 0.855026, 4.847023, 0.526516, 1.038594, 1.038594, 0.522578, -0.100000, -1.130859, 1.003906, 0.751953, 56.420506, 53.527039, 0.000000, 0.000000, 0, 0,0
0.888027, 0.738023, 0.864026, 1.815055, 4.847023, 0.857089, 0.857089, 4.850585, 0.522578, 1.039907, 1.039907, 0.528204, -0.100000, -1.695312, 0.908203, 1.662109, 64.722321, 69.066406, 35.980000, 0.000000, 0, 0,0
0.888027, 0.723022, 0.858026, 1.821056, 4.850585, 0.859714, 0.859714, 4.843648, 0.528204, 1.041782, 1.041782, 0.525016, -0.100000, -1.380859, 1.630859, 1.849609, 52.649914, 54.756973, 35.980000, 0.065352, 0, 0,0
0.879027, 0.735022, 0.870027, 1.815055, 4.843648, 0.842088, 0.842088, 4.851148, 0.525016, 1.042532, 1.042532, 0.527266, -0.100000, -0.691406, 0.595703, 0.564453, 56.866394, 56.280251, -0.070000, 0.000000, 0, 0,0
0.885027, 0.732022, 0.864026, 1.797055, 4.851148, 0.865151, 0.865151, 4.852648, 0.527266, 1.043469, 1.043469, 0.524078, -0.100000, -1.539062, 0.751953, 0.406250, 66.299240, 64.714012, -0.070000, 0.000000, 0, 0,0
0.876027, 0.735022, 0.864026, 1.806055, 4.852648, 0.861401, 0.861401, 4.853210, 0.524078, 1.044219, 1.044219, 0.525016, -0.100000, -2.228516, 0.187500, -0.220703, 85.207497, 85.213951, -0.070000, 0.000000, 0, 0,0
