ADC.steerAngle, ADC.airSpeed, ADC.brakePressB, ADC.fuelTankLevel, ADC.shockDispFL, ADC.shockDispFR, ADC.shockDispBR, ADC.shockDispBL, ADC.channel9, ADC.channel10, ADC.channel11, ADC.channel12, INA.brakePressF, IMU.xAccel, IMU.yAccel, IMU.zAccel, IMU.xRot, IMU.yRot, IMU.zRot, IMU.temp, ECU.RPM, ECU.ECT, ECU.batVolt
0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0,0
0.828025, 0.831025, 0.870027, 1.638050, 0.000000, 0.899652, 0.899652, 4.914900, 0.000000, 0.870214, 0.870214, 0.686833, 0.000000, 0.000000, 0.000000, 1.035156, 0.000000, 90.000000, 0.000000, 0.000000, 0, 0,0
0.882027, 0.831025, 0.870027, 1.632050, 4.914900, 0.923278, 0.923278, 4.913588, 0.686833, 0.853526, 0.853526, 0.561205, -0.100000, -0.001953, 0.000000, 1.035156, 90.000000, 90.000000, 0.000000, 0.000000, 0, 0,0
0.882027, 0.819025, 0.873027, 1.626050, 4.913588, 0.922341, 0.922341, 4.910963, 0.561205, 0.851651, 0.851651, 0.556329, -0.100000, 0.000000, 0.000000, 1.035156, 0.000000, 90.000000, -0.070000, 0.000000, 0, 0,0
0.882027, 0.813025, 0.873027, 1.629050, 4.910963, 0.888590, 0.888590, 4.907962, 0.556329, 0.870214, 0.870214, 0.555767, -0.100000, 0.000000, 0.000000, 1.035156, 0.000000, 90.000000, -0.070000, 0.000000, 0, 0,0
0.888027, 0.819025, 0.870027, 1.620049, 4.907962, 0.898902, 0.898902, 4.907587, 0.555767, 0.876777, 0.876777, 0.560642, -0.100000, 0.000000, 0.000000, 1.035156, 0.000000, 90.000000, 0.000000, -0.000008, 0, 0,0
0.882027, 0.816025, 0.870027, 1.632050, 4.907587, 0.932278, 0.932278, 4.909275, 0.560642, 0.886340, 0.886340, 0.554079, -0.100000, 0.000000, 0.000000, 1.003906, 0.000000, 90.000000, -0.070000, 0.000000, 0, 0,0
0.879027, 0.816025, 0.876027, 1.620049, 4.909275, 0.897777, 0.981030, 4.910775, 0.554079, 0.868151, 0.868151, 0.552392, -0.100000, -0.001953, 0.000000, 1.035156, 90.000000, 90.000000, -0.070000, 0.000000, 0, 0,0
0.882027, 0.834025, 0.873027, 1.632050, 4.910775, 0.839276, 0.839276, 4.909650, 0.552392, 0.873402, 0.873402, 0.555767, -0.100000, 0.000000, 0.000000, 1.035156, 0.000000, 90.000000, -0.070000, 0.000000, 0, 0,0
0.885027, 0.816025, 0.870027, 1.626050, 4.909650, 0.907903, 0.907903, 4.908337, 0.555767, 0.871902, 0.871902, 0.553142, -0.100000, 0.000000, 0.000000, 1.003906, 0.000000, 90.000000, -305.899994, 0.000000, 0, 0,0
0.876027, 0.816025, 0.870027, 1.626050, 4.908337, 0.915215, 0.915215, 4.910963, 0.553142, 0.875839, 0.875839, 0.556892, -0.100000, 0.000000, 0.000000, 1.003906, 0.000000, 90.000000, 0.000000, -0.000016, 0, 0,0
0.873027, 0.810025, 0.876027, 1.620049, 4.910963, 0.901340, 0.901340, 4.904962, 0.556892, 0.900402, 0.900402, 0.553329, -0.100000, 0.000000, 0.000000, 1.035156, 0.000000, 90.000000, -0.070000, 0.000000, 0, 0,0
0.882027, 0.804025, 0.876027, 1.641050, 4.904962, 0.909215, 0.909215, 4.913025, 0.747773, 0.888590, 0.888590, 0.569080, 0.000000, 0.000000, 0.000000, 1.035156, 0.000000, 90.000000, 0.000000, 0.000000, 0, 0,0
0.885027, 0.822025, 0.873027, 1.620049, 4.913025, 0.899465, 0.899465, 4.907212, 0.569080, 0.874152, 0.874152, 0.559517, -0.100000, 0.000000, 0.000000, 1.003906, 0.000000, 90.000000, 0.000000, 0.000000, 0, 0,0
0.876027, 0.813025, 0.870027, 1.632050, 4.907212, 0.895340, 0.895340, 4.909650, 0.559517, 0.872464, 0.872464, 0.556704, 0.000000, 0.000000, 0.000000, 1.035156, 0.000000, 90.000000, -0.070000, 0.000000, 0, 0,0
0.882027, 0.801024, 0.876027, 1.605049, 4.909650, 0.921216, 0.921216, 4.906275, 0.556704, 0.895340, 0.550704, 0.550704, -0.100000, 0.000000, 0.000000, 1.035156, 0.000000, 90.000000, -36.049999, -0.000023, 0, 0,0
0.879027, 0.807025, 0.870027, 1.611049, 4.906275, 0.880902, 0.981030, 4.905900, 0.741210, 0.918028, 0.918028, 0.555392, -0.100000, 0.000000, 0.000000, 1.003906, 0.000000, 90.000000, -0.070000, 0.000000, 0, 0,0
0.870027, 0.804025, 0.870027, 1.650050, 4.905900, 0.847901, 0.847901, 4.911525, 0.555392, 0.858214, 0.858214, 0.554642, 0.000000, 0.000000, 0.000000, 1.003906, 0.000000, 90.000000, -36.049999, 0.000000, 0, 0,0
0.888027, 0.825025, 0.876027, 1.623049, 4.911525, 0.904903, 0.904903, 4.909837, 0.554642, 0.868901, 0.868901, 0.557079, 0.000000, 0.000000, 0.000000, 1.035156, 0.000000, 90.000000, 35.980000, 0.000000, 0, 0,0
0.882027, 0.813025, 0.873027, 1.617049, 4.909837, 0.916528, 0.916528, 4.910213, 0.557079, 0.867401, 0.867401, 0.561205, -0.100000, -0.001953, 0.000000, 1.003906, 90.000000, 90.000000, -539.770020, 0.000000, 0, 0,0
0.885027, 0.810025, 0.873027, 1.611049, 4.910213, 0.917278, 0.917278, 4.910025, 0.561205, 0.870589, 0.870589, 0.553517, 0.000000, 0.000000, 0.000000, 1.035156, 0.000000, 90.000000, -269.920013, -0.000062, 0, 0,0
0.879027, 0.816025, 0.876027, 1.635050, 4.910025, 0.911278, 0.911278, 4.910400, 0.553517, 0.883902, 0.883902, 0.553142, -0.100000, 0.000000, 0.000000, 1.003906, 0.000000, 90.000000, -305.899994, 0.000000, 0, 0,0
0.882027, 0.804025, 0.870027, 1.623049, 4.910400, 0.910153, 0.910153, 4.905900, 0.553142, 0.874902, 0.874902, 0.556142, -0.100000, 0.000000, 0.000000, 1.003906, 0.000000, 90.000000, -18.059999, 0.000000, 0, 0,0
0.876027, 0.816025, 0.873027, 1.623049, 4.905900, 0.904340, 0.904340, 4.909837, 0.556142, 0.868339, 0.868339, 0.552204, -0.100000, 0.000000, 0.000000, 1.035156, 0.000000, 90.000000, 35.980000, 0.000000, 0, 0,0
0.882027, 0.822025, 0.870027, 1.629050, 4.909837, 0.915590, 0.915590, 4.909650, 0.552204, 0.869839, 0.869839, 0.552392, -0.100000, 0.000000, 0.000000, 1.003906, 0.000000, 90.000000, 0.000000, 0.000000, 0, 0,0
0.879027, 0.816025, 0.873027, 1.617049, 4.909650, 0.912403, 0.912403, 4.905900, 0.552392, 0.856714, 0.856714, 0.551267, -0.100000, 0.000000, 0.000000, 1.035156, 0.000000, 90.000000, 0.000000, -0.000109, 0, 0,0
0.879027, 0.813025, 0.870027, 1.620049, 4.905900, 0.887652, 0.981030, 4.905712, 0.551267, 0.892152, 0.892152, 0.555017, -0.100000, 0.000000, 0.000000, 1.035156, 0.000000, 90.000000, 0.000000, 0.000000, 0, 0,0
0.882027, 0.810025, 0.876027, 1.626050, 4.905712, 0.806462, 0.806462, 4.907400, 0.555017, 0.864776, 0.864776, 0.554642, -0.100000, 0.000000, 0.000000, 1.035156, 0.000000, 90.000000, -0.070000, 0.000000, 0, 0,0
0.876027, 0.810025, 0.873027, 1.626050, 4.907400, 0.890652, 0.890652, 4.908150, 0.554642, 0.863089, 0.863089, 0.549954, -0.100000, 0.000000, 0.000000, 1.003906, 0.000000, 90.000000, 17.990000, 0.000000, 0, 0,0
0.876027, 0.804025, 0.867026, 1.626050, 4.908150, 0.911465, 0.911465, 4.908337, 0.549954, 0.870402, 0.870402, 0.552767, -0.100000, 0.000000, 0.000000, 1.035156, 0.000000, 90.000000, -18.059999, 0.000000, 0, 0,0
0.870027, 0.807025, 0.870027, 1.617049, 4.908337, 0.900402, 0.900402, 4.907212, 0.552767, 0.881839, 0.881839, 0.553329, -0.100000, 0.000000, 0.000000, 1.035156, 0.000000, 90.000000, -0.070000, -0.000219, 0, 0,0
0.888027, 0.804025, 0.870027, 1.629050, 4.907212, 0.875277, 0.977655, 4.904962, 0.749273, 0.917466, 0.917466, 0.570580, -0.100000, 0.000000, 0.000000, 1.035156, 0.000000, 90.000000, 0.000000, 0.000000, 0, 0,0
0.879027, 0.810025, 0.870027, 1.635050, 4.904962, 0.835338, 0.835338, 4.902150, 0.570580, 0.922716, 0.554267, 0.554267, -0.100000, 0.000000, 0.000000, 1.003906, 0.000000, 90.000000, 0.000000, 0.000000, 0, 0,0
0.873027, 0.807025, 0.876027, 1.623049, 4.902150, 0.886715, 0.886715, 4.915650, 0.736335, 0.889340, 0.889340, 0.549767, -0.100000, 0.000000, 0.000000, 1.035156, 0.000000, 90.000000, -18.059999, 0.000000, 0, 0,0
0.873027, 0.819025, 0.870027, 1.632050, 4.915650, 0.907340, 0.907340, 4.909462, 0.549767, 0.881652, 0.881652, 0.554454, -0.100000, 0.000000, 0.000000, 1.035156, 0.000000, 90.000000, 17.990000, 0.000000, 0, 0,0
0.873027, 0.810025, 0.876027, 1.623049, 4.909462, 0.908465, 0.908465, 4.905525, 0.554454, 0.873402, 0.873402, 0.553892, -0.100000, 0.000000, 0.000000, 1.035156, 0.000000, 90.000000, -341.880005, -0.000437, 0, 0,0
0.885027, 0.804025, 0.870027, 1.620049, 4.905525, 0.906778, 0.906778, 4.907962, 0.553892, 0.872277, 0.872277, 0.552204, -0.100000, 0.000000, 0.000000, 1.035156, 0.000000, 90.000000, 0.000000, 0.000000, 0, 0,0
0.888027, 0.816025, 0.876027, 1.632050, 4.907962, 0.893652, 0.893652, 4.903462, 0.552204, 0.904153, 0.904153, 0.556517, -0.100000, -0.001953, 0.000000, 1.035156, 90.000000, 90.000000, -0.070000, 0.000000, 0, 0,0
0.882027, 0.822025, 0.876027, 1.620049, 4.905525, 0.884277, 0.884277, 4.913400, 0.556517, 0.866651, 0.866651, 0.552954, -0.100000, -0.001953, 0.000000, 1.035156, 90.000000, 90.000000, 0.000000, 0.000000, 0, 0,0
0.882027, 0.813025, 0.876027, 1.629050, 4.913400, 0.923466, 0.923466, 4.907587, 0.552954, 0.871714, 0.871714, 0.551829, -0.100000, 0.000000, 0.000000, 1.035156, 0.000000, 90.000000, 0.000000, 0.000000, 0, 0,0
0.888027, 0.804025, 0.876027, 1.620049, 4.907587, 0.911840, 0.911840, 4.904962, 0.551829, 0.871902, 0.871902, 0.554079, -0.100000, -0.001953, 0.000000, 1.003906, 90.000000, 90.000000, 0.000000, -0.000914, 0, 0,0
0.885027, 0.813025, 0.870027, 1.635050, 4.904962, 0.885965, 0.885965, 4.904587, 0.554079, 0.938091, 0.549767, 0.549767, -0.100000, 0.000000, 0.000000, 1.003906, 0.000000, 90.000000, -0.070000, 0.000000, 0, 0,0
0.876027, 0.810025, 0.873027, 1.635050, 4.904587, 0.899652, 0.899652, 4.910213, 0.742335, 0.906028, 0.906028, 0.553329, -0.100000, 0.000000, 0.000000, 1.035156, 0.000000, 90.000000, 0.000000, 0.000000, 0, 0,0
0.876027, 0.819025, 0.873027, 1.632050, 4.910213, 0.904153, 0.904153, 4.907212, 0.553329, 0.888777, 0.888777, 0.553892, -0.100000, 0.000000, 0.000000, 1.035156, 0.000000, 90.000000, -0.070000, 0.000000, 0, 0,0
0.882027, 0.813025, 0.873027, 1.620049, 4.909650, 0.928903, 0.928903, 4.909275, 0.553892, 0.876214, 0.876214, 0.558392, -0.100000, -0.001953, 0.000000, 1.035156, 90.000000, 90.000000, -0.070000, 0.000000, 0, 0,0
