ADC.steerAngle, ADC.airSpeed, ADC.brakePressB, ADC.fuelTankLevel, ADC.shockDispFL, ADC.shockDispFR, ADC.shockDispBR, ADC.shockDispBL, ADC.channel9, ADC.channel10, ADC.channel11, ADC.channel12, INA.brakePressF, IMU.xAccel, IMU.yAccel, IMU.zAccel, IMU.xRot, IMU.yRot, IMU.zRot, IMU.temp, ECU.RPM, ECU.ECT, ECU.batVolt
0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0,0
0.819025, 0.738023, 0.870027, 1.971060, 0.000000, 0.561955, 0.561955, 4.799021, 0.000000, 1.121659, 1.121659, 0.525204, -0.100000, 0.000000, 0.000000, 1.003906, 0.000000, 90.000000, 0.000000, 0.000000, 0, 0,0
0.897027, 0.741023, 0.867026, 1.929059, 4.799021, 0.776274, 0.776274, 4.806709, 0.525204, 1.091471, 1.091471, 0.527829, -0.100000, 0.000000, 0.000000, 1.003906, 0.000000, 90.000000, 0.000000, 0.000000, 0, 0,0
0.903028, 0.756023, 0.867026, 1.929059, 4.806709, 0.787149, 0.787149, 4.795646, 0.527829, 1.070095, 1.070095, 0.522203, -0.100000, 0.000000, 0.000000, 1.003906, 0.000000, 90.000000, 0.000000, 0.000000, 0, 0,0
0.888027, 0.738023, 0.861026, 1.926059, 4.795646, 0.794649, 0.794649, 4.789271, 0.522203, 1.098221, 1.098221, 0.527079, -0.100000, 0.000000, 0.000000, 1.003906, 0.000000, 90.000000, 17.990000, 0.000000, 0, 0,0
0.903028, 0.753023, 0.864026, 1.917058, 4.789271, 0.782086, 0.782086, 4.800334, 0.527079, 1.062970, 1.062970, 0.524828, -0.100000, 0.000000, 0.000000, 1.003906, 0.000000, 90.000000, -0.070000, 0.000000, 0, 0,0
0.885027, 0.753023, 0.864026, 1.914058, 4.800334, 0.806275, 0.806275, 4.791334, 0.524828, 1.074033, 1.074033, 0.525579, -0.100000, 0.000000, 0.000000, 1.003906, 0.000000, 90.000000, -0.070000, 0.000000, 0, 0,0
0.897027, 0.750023, 0.864026, 1.926059, 4.791334, 0.778899, 0.778899, 4.792084, 0.525579, 1.066345, 1.066345, 0.521078, -0.100000, -0.001953, 0.000000, 1.003906, 90.000000, 90.000000, 35.980000, 0.000000, 0, 0,0
0.903028, 0.744023, 0.858026, 1.923059, 4.792084, 0.800462, 0.800462, 4.782333, 0.521078, 1.083783, 1.083783, 0.523141, -0.100000, 0.000000, 0.000000, 1.003906, 0.000000, 90.000000, 0.000000, 0.000000, 0, 0,0
0.894027, 0.747023, 0.867026, 1.929059, 4.782333, 0.813962, 0.813962, 4.799771, 0.523141, 1.061470, 1.061470, 0.521828, 0.000000, 0.000000, 0.000000, 1.003906, 0.000000, 90.000000, -18.059999, 0.000000, 0, 0,0
0.900027, 0.747023, 0.870027, 1.935059, 4.799771, 0.784336, 0.784336, 4.786834, 0.521828, 1.080971, 1.080971, 0.527079, -0.100000, 0.000000, 0.000000, 1.035156, 0.000000, 90.000000, 17.990000, -0.000008, 0, 0,0
0.888027, 0.756023, 0.861026, 1.926059, 4.786834, 0.793899, 0.793899, 4.799397, 0.527079, 1.064470, 1.064470, 0.521266, -0.100000, 0.000000, 0.000000, 1.003906, 0.000000, 90.000000, -36.049999, 0.000000, 0, 0,0
0.885027, 0.753023, 0.867026, 1.926059, 4.799397, 0.798399, 0.798399, 4.799771, 0.521266, 1.057157, 1.057157, 0.524641, 0.000000, 0.000000, 0.000000, 1.003906, 0.000000, 90.000000, -0.070000, 0.000000, 0, 0,0
0.897027, 0.744023, 0.861026, 1.941059, 4.799771, 0.799524, 0.799524, 4.800521, 0.524641, 1.062595, 1.062595, 0.524641, -0.100000, 0.000000, 0.000000, 1.003906, 0.000000, 90.000000, 17.990000, 0.000000, 0, 0,0
0.900027, 0.738023, 0.861026, 1.956060, 4.800521, 0.804962, 0.804962, 4.792459, 0.558767, 1.084721, 1.084721, 0.530266, -0.100000, 0.000000, 0.000000, 1.035156, 0.000000, 90.000000, 0.000000, 0.000000, 0, 0,0
0.903028, 0.765023, 0.861026, 1.932059, 4.792459, 0.791087, 0.791087, 4.812335, 0.530266, 1.056595, 1.056595, 0.520141, -0.100000, 0.000000, 0.000000, 1.003906, 0.000000, 90.000000, 53.970001, -0.000008, 0, 0,0
0.897027, 0.753023, 0.867026, 1.941059, 4.812335, 0.806462, 0.806462, 4.802022, 0.520141, 1.062595, 1.062595, 0.522766, -0.100000, -0.001953, 0.000000, 1.003906, 90.000000, 90.000000, 0.000000, 0.000000, 0, 0,0
0.897027, 0.747023, 0.861026, 1.926059, 4.802022, 0.795774, 0.795774, 4.802584, 0.522766, 1.068408, 1.068408, 0.529704, -0.100000, 0.000000, 0.000000, 1.003906, 0.000000, 90.000000, 53.970001, 0.000000, 0, 0,0
0.894027, 0.741023, 0.861026, 1.923059, 4.802584, 0.804212, 0.804212, 4.801834, 0.529704, 1.064657, 1.064657, 0.530079, -0.100000, 0.000000, 0.000000, 1.003906, 0.000000, 90.000000, 0.000000, 0.000000, 0, 0,0
0.897027, 0.744023, 0.861026, 1.932059, 4.801834, 0.788274, 0.788274, 4.785146, 0.530079, 1.133097, 0.518266, 0.529329, -0.100000, 0.000000, 0.000000, 1.003906, 0.000000, 90.000000, 0.000000, 0.000000, 0, 0,0
0.897027, 0.744023, 0.861026, 1.932059, 4.785146, 0.810400, 0.810400, 4.811772, 0.529329, 1.051720, 1.051720, 0.521641, -0.100000, 0.000000, 0.000000, 1.035156, 0.000000, 90.000000, 107.940002, -0.000020, 0, 0,0
0.891027, 0.738023, 0.867026, 1.938059, 4.811772, 0.809275, 0.809275, 4.798834, 0.521641, 1.065595, 1.065595, 0.522766, -0.100000, 0.000000, 0.000000, 1.003906, 0.000000, 90.000000, -0.070000, 0.000000, 0, 0,0
0.897027, 0.750023, 0.858026, 1.944059, 4.798834, 0.792212, 0.792212, 4.801647, 0.522766, 1.070658, 1.070658, 0.524641, -0.100000, 0.000000, 0.000000, 1.003906, 0.000000, 90.000000, -72.029999, 0.000000, 0, 0,0
0.888027, 0.741023, 0.864026, 1.932059, 4.801647, 0.786961, 0.786961, 4.797896, 0.524641, 1.054157, 1.054157, 0.522391, -0.100000, -0.001953, 0.000000, 1.003906, 90.000000, 90.000000, -0.070000, 0.000000, 0, 0,0
0.900027, 0.747023, 0.864026, 1.929059, 4.797896, 0.794087, 0.794087, 4.787584, 0.522391, 1.120722, 0.523516, 0.523516, -0.200000, 0.000000, 0.000000, 1.003906, 0.000000, 90.000000, -0.070000, 0.000000, 0, 0,0
0.900027, 0.744023, 0.867026, 1.974060, 4.787584, 0.809650, 0.809650, 4.804459, 0.548267, 1.083033, 1.083033, 0.522016, -0.100000, 0.000000, 0.000000, 1.003906, 0.000000, 90.000000, 89.949997, -0.000047, 0, 0,0
0.885027, 0.744023, 0.864026, 1.938059, 4.804459, 0.793337, 0.793337, 4.802397, 0.522016, 1.064470, 1.064470, 0.526516, -0.100000, 0.000000, 0.000000, 1.003906, 0.000000, 90.000000, 17.990000, 0.000000, 0, 0,0
0.894027, 0.744023, 0.861026, 1.926059, 4.802397, 0.792399, 0.792399, 4.796396, 0.526516, 1.059782, 1.059782, 0.528016, -0.100000, 0.000000, 0.000000, 1.003906, 0.000000, 90.000000, 0.000000, 0.000000, 0, 0,0
0.894027, 0.750023, 0.861026, 1.923059, 4.796396, 0.795587, 0.795587, 4.801834, 0.528016, 1.083033, 1.083033, 0.522578, -0.100000, 0.000000, 0.000000, 1.003906, 0.000000, 90.000000, -0.070000, 0.000000, 0, 0,0
0.894027, 0.756023, 0.855026, 1.923059, 4.801834, 0.778899, 0.778899, 4.782896, 0.522578, 1.088471, 1.088471, 0.524078, 0.000000, 0.000000, 0.000000, 1.003906, 0.000000, 90.000000, -0.070000, 0.000000, 0, 0,0
0.900027, 0.756023, 0.867026, 1.947059, 4.788896, 0.804212, 0.804212, 4.806709, 0.524078, 1.078158, 1.078158, 0.526891, -0.100000, 0.000000, 0.000000, 1.003906, 0.000000, 90.000000, 17.990000, -0.000082, 0, 0,0
0.903028, 0.753023, 0.864026, 1.941059, 4.806709, 0.781524, 0.781524, 4.801459, 0.526891, 1.066345, 1.066345, 0.526516, -0.100000, 0.000000, 0.000000, 1.003906, 0.000000, 90.000000, -0.070000, 0.000000, 0, 0,0
0.900027, 0.744023, 0.867026, 1.920059, 4.801459, 0.806837, 0.806837, 4.802022, 0.526516, 1.063157, 1.063157, 0.523516, 0.000000, 0.000000, 0.000000, 1.003906, 0.000000, 90.000000, -0.070000, 0.000000, 0, 0,0
0.897027, 0.747023, 0.864026, 1.929059, 4.802022, 0.801587, 0.801587, 4.800521, 0.523516, 1.059782, 1.059782, 0.522578, -0.100000, -0.001953, 0.000000, 1.035156, 90.000000, 90.000000, -0.070000, 0.000000, 0, 0,0
0.894027, 0.750023, 0.864026, 1.920059, 4.800521, 0.791087, 1.346854, 4.788896, 0.522578, 1.091846, 1.091846, 0.521453, -0.100000, 0.000000, 0.000000, 1.003906, 0.000000, 90.000000, 0.000000, 0.000000, 0, 0,0
0.897027, 0.744023, 0.867026, 1.938059, 4.788896, 0.732960, 0.732960, 4.798084, 0.521453, 1.064470, 1.064470, 0.519953, -0.100000, 0.000000, 0.000000, 1.003906, 0.000000, 90.000000, 143.919998, -0.000176, 0, 0,0
0.900027, 0.756023, 0.861026, 1.941059, 4.798084, 0.791087, 0.791087, 4.799959, 0.519953, 1.056220, 1.056220, 0.520891, -0.100000, 0.000000, 0.000000, 1.035156, 0.000000, 90.000000, 53.970001, 0.000000, 0, 0,0
0.894027, 0.750023, 0.861026, 1.938059, 4.799959, 0.791649, 0.791649, 4.800147, 0.520891, 1.066720, 1.066720, 0.522953, -0.100000, 0.000000, 0.000000, 1.003906, 0.000000, 90.000000, 0.000000, 0.000000, 0, 0,0
0.900027, 0.741023, 0.861026, 1.920059, 4.800147, 0.794837, 0.794837, 4.800334, 0.522953, 1.055845, 1.055845, 0.525766, 0.000000, 0.000000, 0.000000, 1.035156, 0.000000, 90.000000, -0.070000, 0.000000, 0, 0,0
0.897027, 0.756023, 0.855026, 1.932059, 4.800334, 0.789024, 0.789024, 4.798084, 0.525766, 1.061095, 1.061095, 0.527641, -0.100000, 0.000000, 0.000000, 1.003906, 0.000000, 90.000000, -18.059999, 0.000000, 0, 0,0
0.888027, 0.741023, 0.867026, 1.938059, 4.798084, 0.795587, 0.795587, 4.798834, 0.527641, 1.059407, 1.059407, 0.521828, -0.100000, 0.000000, 0.000000, 1.003906, 0.000000, 90.000000, -0.070000, -0.000340, 0, 0,0
0.888027, 0.741023, 0.858026, 1.938059, 4.798834, 0.784524, 0.784524, 4.792271, 0.521828, 1.106284, 0.517141, 0.517141, -0.100000, 0.000000, 0.000000, 1.035156, 0.000000, 90.000000, 125.930000, 0.000000, 0, 0,0
