ADC.steerAngle, ADC.airSpeed, ADC.brakePressB, ADC.fuelTankLevel, ADC.shockDispFL, ADC.shockDispFR, ADC.shockDispBR, ADC.shockDispBL, ADC.channel9, ADC.channel10, ADC.channel11, ADC.channel12, INA.brakePressF, IMU.xAccel, IMU.yAccel, IMU.zAccel, IMU.xRot, IMU.yRot, IMU.zRot, IMU.temp, ECU.RPM, ECU.ECT, ECU.batVolt
0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0,0
0.813025, 0.807025, 0.873027, 1.722053, 0.000000, 0.668083, 0.668083, 4.849461, 0.000000, 1.130659, 1.130659, 0.622144, -0.100000, 0.000000, 0.031250, 1.003906, 45.000000, 88.217049, 0.000000, 0.000000, 0, 0,0
0.885027, 0.801024, 0.867026, 1.737053, 4.849461, 0.861964, 0.861964, 4.849273, 0.622144, 1.108721, 1.108721, 0.528016, -0.100000, 0.000000, 0.000000, 1.035156, 0.000000, 90.000000, 0.000000, 0.000000, 0, 0,0
0.885027, 0.789024, 0.861026, 1.719052, 4.849273, 0.899652, 0.899652, 4.845148, 0.528016, 1.075720, 1.075720, 0.531579, -0.100000, 0.000000, 0.000000, 1.003906, 0.000000, 90.000000, 0.000000, 0.000000, 0, 0,0
0.879027, 0.798024, 0.873027, 1.746053, 4.845148, 0.887277, 0.887277, 4.840460, 0.531579, 1.098221, 1.098221, 0.528391, -0.100000, 0.000000, 0.000000, 1.035156, 0.000000, 90.000000, 17.990000, 0.000000, 0, 0,0
0.876027, 0.807025, 0.867026, 1.737053, 4.840460, 0.854651, 1.456544, 4.840085, 0.528391, 1.122972, 1.122972, 0.528954, -0.100000, 0.031250, 0.000000, 1.003906, 90.000000, 90.000000, 35.980000, 0.000312, 0, 0,0
0.888027, 0.795024, 0.867026, 1.746053, 4.844585, 0.777586, 0.777586, 4.842335, 0.528954, 1.093533, 1.093533, 0.535704, 0.000000, 0.031250, 0.000000, 1.003906, 90.000000, 90.000000, 0.000000, 0.000000, 0, 0,0
0.879027, 0.795024, 0.867026, 1.731053, 4.842335, 0.853714, 0.853714, 4.841960, 0.535704, 1.092596, 1.092596, 0.536829, -0.100000, 0.031250, 0.000000, 1.003906, 90.000000, 90.000000, -0.070000, 0.000000, 0, 0,0
0.870027, 0.804025, 0.870027, 1.725053, 4.841960, 0.861214, 0.861214, 4.840273, 0.536829, 1.098596, 1.098596, 0.536829, -0.100000, 0.000000, 0.000000, 1.035156, 0.000000, 90.000000, 0.000000, 0.000000, 0, 0,0
0.879027, 0.804025, 0.864026, 1.740053, 4.840273, 0.877339, 0.877339, 4.850585, 0.705584, 1.090158, 1.090158, 0.541517, -0.100000, 0.000000, 0.000000, 1.003906, 0.000000, 90.000000, 17.990000, 0.000000, 0, 0,0
0.873027, 0.795024, 0.870027, 1.734053, 4.850585, 0.895152, 0.895152, 4.851523, 0.541517, 1.074595, 1.074595, 0.535891, -0.100000, 0.000000, 0.000000, 1.003906, 0.000000, 90.000000, 53.970001, 0.000500, 0, 0,0
0.873027, 0.795024, 0.867026, 1.722053, 4.851523, 0.937154, 0.937154, 4.850585, 0.535891, 1.078158, 1.078158, 0.536641, -0.100000, 0.000000, 0.000000, 1.035156, 0.000000, 90.000000, -0.070000, 0.000000, 0, 0,0
0.873027, 0.804025, 0.864026, 1.746053, 4.850585, 0.885402, 0.885402, 4.853023, 0.536641, 1.089408, 1.089408, 0.534954, -0.100000, 0.000000, 0.000000, 1.003906, 0.000000, 90.000000, 0.000000, 0.000000, 0, 0,0
0.882027, 0.798024, 0.870027, 1.746053, 4.853023, 0.902840, 0.902840, 4.845148, 0.534954, 1.103096, 1.103096, 0.533454, -0.100000, 0.000000, 0.000000, 1.003906, 0.000000, 90.000000, -0.070000, 0.000000, 0, 0,0
0.888027, 0.792024, 0.867026, 1.749053, 4.845148, 0.858589, 1.461982, 1.461982, 0.533454, 1.092221, 1.092221, 0.531579, -0.100000, 0.000000, 0.000000, 1.035156, 0.000000, 90.000000, -0.070000, 0.000000, 0, 0,0
0.876027, 0.798024, 0.870027, 1.740053, 4.859211, 0.784336, 0.784336, 4.863148, 0.531579, 1.079845, 1.079845, 0.531204, -0.100000, 0.000000, 0.000000, 1.003906, 0.000000, 90.000000, 0.000000, 0.000812, 0, 0,0
0.873027, 0.795024, 0.867026, 1.722053, 4.863148, 0.906215, 0.906215, 4.861086, 0.531204, 1.088846, 1.088846, 0.534579, -0.100000, 0.000000, 0.000000, 1.035156, 0.000000, 90.000000, 0.000000, 0.000000, 0, 0,0
0.873027, 0.804025, 0.870027, 1.737053, 4.861086, 0.906403, 0.906403, 4.861086, 0.534579, 1.097471, 1.097471, 0.540016, -0.100000, 0.000000, 0.000000, 1.035156, 0.000000, 90.000000, 17.990000, 0.000000, 0, 0,0
0.882027, 0.795024, 0.867026, 1.749053, 4.861086, 0.906403, 0.906403, 4.847210, 0.540016, 1.193099, 0.531391, 0.531391, -0.100000, 0.000000, 0.000000, 1.035156, 0.000000, 90.000000, 0.000000, 0.000000, 0, 0,0
0.882027, 0.801024, 0.873027, 1.746053, 4.845523, 0.872464, 0.872464, 4.864836, 0.695271, 1.084908, 1.084908, 0.535329, 0.000000, 0.000000, 0.000000, 1.035156, 0.000000, 90.000000, 53.970001, 0.000000, 0, 0,0
0.876027, 0.789024, 0.870027, 1.731053, 4.864836, 0.914278, 0.914278, 4.862399, 0.535329, 1.083596, 1.083596, 0.530641, -0.100000, 0.000000, 0.000000, 1.003906, 0.000000, 90.000000, -36.049999, 0.001625, 0, 0,0
0.885027, 0.804025, 0.867026, 1.725053, 4.862399, 0.910340, 0.910340, 4.868023, 0.530641, 1.077783, 1.077783, 0.532516, -0.100000, 0.000000, 0.000000, 1.003906, 0.000000, 90.000000, -36.049999, 0.000000, 0, 0,0
0.879027, 0.792024, 0.870027, 1.725053, 4.868023, 0.907340, 0.907340, 4.863711, 0.532516, 1.078533, 1.078533, 0.536079, -0.100000, 0.000000, 0.031250, 1.066406, 45.000000, 88.321480, -108.010002, 0.000000, 0, 0,0
0.882027, 0.795024, 0.867026, 1.725053, 4.863711, 0.909215, 0.909215, 4.853773, 0.536079, 1.100471, 1.100471, 0.535516, -0.100000, 0.031250, 0.000000, 1.035156, 90.000000, 90.000000, 0.000000, 0.000000, 0, 0,0
0.885027, 0.801024, 0.864026, 1.719052, 4.853773, 0.872839, 0.872839, 4.858086, 0.535516, 1.091658, 1.091658, 0.531391, -0.100000, 0.000000, 0.000000, 1.003906, 0.000000, 90.000000, -36.049999, 0.000000, 0, 0,0
0.879027, 0.798024, 0.864026, 1.731053, 4.858086, 0.893090, 0.893090, 4.863523, 0.531391, 1.081158, 1.081158, 0.532891, -0.100000, 0.000000, 0.000000, 1.035156, 0.000000, 90.000000, -0.070000, 0.003437, 0, 0,0
0.873027, 0.804025, 0.867026, 1.731053, 4.863523, 0.919903, 0.919903, 4.865398, 0.532891, 1.081158, 1.081158, 0.537204, -0.100000, 0.000000, 0.000000, 1.035156, 0.000000, 90.000000, -72.029999, 0.000000, 0, 0,0
0.882027, 0.798024, 0.870027, 1.722053, 4.865398, 0.965654, 0.965654, 4.866899, 0.537204, 1.071408, 1.071408, 0.531391, -0.100000, 0.000000, 0.000000, 1.003906, 0.000000, 90.000000, -0.070000, 0.000000, 0, 0,0
0.882027, 0.789024, 0.870027, 1.734053, 4.866899, 0.915778, 0.915778, 4.864086, 0.699959, 1.095408, 1.095408, 0.544329, -0.100000, 0.000000, 0.000000, 1.003906, 0.000000, 90.000000, 17.990000, 0.000000, 0, 0,0
0.873027, 0.801024, 0.867026, 1.728053, 4.864086, 0.935841, 0.935841, 4.862773, 0.544329, 1.089971, 1.089971, 0.535329, -0.100000, 0.000000, 0.000000, 1.035156, 0.000000, 90.000000, -0.070000, 0.000000, 0, 0,0
0.870027, 0.807025, 0.870027, 1.728053, 4.862773, 0.894027, 0.894027, 4.862961, 0.535329, 1.080033, 1.080033, 0.531579, -0.100000, 0.000000, 0.000000, 1.035156, 0.000000, 90.000000, 0.000000, 0.006687, 0, 0,0
0.885027, 0.804025, 0.858026, 1.737053, 4.862961, 0.928153, 0.928153, 4.859773, 0.531579, 1.075158, 1.075158, 0.532141, -0.100000, 0.000000, 0.000000, 1.035156, 0.000000, 90.000000, -0.070000, 0.000000, 0, 0,0
0.885027, 0.789024, 0.867026, 1.716052, 4.859773, 0.942404, 0.942404, 4.858836, 0.532141, 1.130285, 0.528016, 0.529704, 0.000000, 0.000000, 0.000000, 1.035156, 0.000000, 90.000000, -0.070000, 0.000000, 0, 0,0
0.888027, 0.792024, 0.870027, 1.725053, 4.858836, 0.901152, 0.901152, 4.864274, 0.529704, 1.084346, 1.084346, 0.533454, 0.000000, 0.000000, 0.000000, 1.003906, 0.000000, 90.000000, 17.990000, 0.000000, 0, 0,0
0.879027, 0.789024, 0.867026, 1.722053, 4.864274, 0.920466, 0.920466, 4.857523, 0.533454, 1.086033, 1.086033, 0.536454, -0.100000, 0.000000, 0.000000, 1.035156, 0.000000, 90.000000, 35.980000, 0.000000, 0, 0,0
0.885027, 0.792024, 0.867026, 1.725053, 4.857523, 0.914090, 0.914090, 4.856773, 0.536454, 1.086221, 1.086221, 0.531766, -0.100000, 0.000000, 0.000000, 1.035156, 0.000000, 90.000000, -18.059999, 0.013375, 0, 0,0
0.879027, 0.795024, 0.864026, 1.734053, 4.856773, 0.889902, 0.889902, 4.860711, 0.531766, 1.077783, 1.077783, 0.534954, 0.000000, 0.000000, 0.000000, 1.003906, 0.000000, 90.000000, 0.000000, 0.000000, 0, 0,0
0.882027, 0.798024, 0.864026, 1.722053, 4.860711, 0.926091, 0.926091, 4.857148, 0.534954, 1.094471, 1.094471, 0.537391, -0.100000, 0.000000, 0.000000, 1.003906, 0.000000, 90.000000, -36.049999, 0.000000, 0, 0,0
0.873027, 0.795024, 0.867026, 1.710052, 4.857148, 0.921966, 0.921966, 4.860711, 0.537391, 1.077970, 1.077970, 0.529329, -0.100000, 0.000000, 0.000000, 1.035156, 0.000000, 90.000000, 0.000000, 0.000000, 0, 0,0
0.870027, 0.795024, 0.861026, 1.722053, 4.860711, 0.918966, 0.918966, 4.860148, 0.529329, 1.084346, 1.084346, 0.536829, -0.100000, 0.000000, 0.000000, 1.035156, 0.000000, 90.000000, 89.949997, 0.000000, 0, 0,0
0.888027, 0.798024, 0.861026, 1.710052, 4.860148, 0.922341, 0.922341, 4.858086, 0.536829, 1.099159, 1.099159, 0.530266, -0.100000, 0.000000, 0.000000, 1.035156, 0.000000, 90.000000, 71.959999, 0.026750, 0, 0,0
0.873027, 0.795024, 0.867026, 1.722053, 4.858086, 0.922716, 0.922716, 4.853961, 0.530266, 1.073658, 1.073658, 0.530266, -0.100000, 0.000000, 0.000000, 1.003906, 0.000000, 90.000000, -90.019997, 0.000000, 0, 0,0
0.876027, 0.786024, 0.867026, 1.713052, 4.853961, 0.897777, 0.897777, 4.859211, 0.530266, 1.088283, 1.088283, 0.530641, -0.100000, 0.000000, 0.000000, 1.035156, 0.000000, 90.000000, 89.949997, 0.000000, 0, 0,0
0.882027, 0.804025, 0.867026, 1.731053, 4.859211, 0.909028, 0.909028, 4.853961, 0.530641, 1.085096, 1.085096, 0.532891, 0.000000, 0.000000, 0.000000, 1.003906, 0.000000, 90.000000, 0.000000, 0.000000, 0, 0,0
0.885027, 0.789024, 0.861026, 1.716052, 4.853961, 0.878652, 0.878652, 4.852836, 0.532891, 1.096346, 1.096346, 0.530266, -0.100000, 0.000000, 0.000000, 1.003906, 0.000000, 90.000000, -0.070000, 0.000000, 0, 0,0
