ADC.steerAngle, ADC.airSpeed, ADC.brakePressB, ADC.fuelTankLevel, ADC.shockDispFL, ADC.shockDispFR, ADC.shockDispBR, ADC.shockDispBL, ADC.channel9, ADC.channel10, ADC.channel11, ADC.channel12, INA.brakePressF, IMU.xAccel, IMU.yAccel, IMU.zAccel, IMU.xRot, IMU.yRot, IMU.zRot, IMU.temp, ECU.RPM, ECU.ECT, ECU.batVolt
0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0,0
0.810025, 0.732022, 0.864026, 1.887058, 0.000000, 0.959279, 0.959279, 4.850773, 0.000000, 1.118847, 1.118847, 0.525391, -0.100000, 0.814453, -0.972656, 0.908203, 127.477554, 128.566116, 0.000000, 0.000000, 0, 0,0
0.891027, 0.744023, 0.864026, 1.803055, 4.850773, 0.859714, 0.859714, 4.856211, 0.525391, 1.056032, 1.056032, 0.525016, -0.100000, -0.158203, -0.816406, 0.343750, 134.472015, 155.132095, -0.070000, 0.000000, 0, 0,0
0.876027, 0.732022, 0.864026, 1.803055, 4.856211, 0.853714, 0.853714, 4.846648, 0.525016, 1.064470, 1.064470, 0.526704, -0.100000, 0.658203, -1.068359, 1.410156, 130.410767, 124.470230, -0.070000, 0.000000, 0, 0,0
0.894027, 0.744023, 0.861026, 1.803055, 4.846648, 0.828213, 1.166848, 1.166848, 0.526704, 1.070283, 1.070283, 0.526141, -0.100000, -0.064453, -0.878906, 0.626953, 134.923172, 144.355957, 17.990000, 0.000000, 0, 0,0
0.879027, 0.732022, 0.867026, 1.803055, 4.850773, 0.745523, 0.745523, 4.858086, 0.526141, 1.045157, 1.045157, 0.528954, -0.100000, -0.251953, -0.878906, 1.097656, 133.869049, 127.969070, -0.070000, 0.001910, 0, 0,0
0.891027, 0.741023, 0.876027, 1.809055, 4.858086, 0.835900, 0.835900, 4.844023, 0.528954, 1.048907, 1.048907, 0.526516, -0.100000, 0.939453, -1.474609, 1.472656, 130.143784, 130.170410, 0.000000, 0.000000, 0, 0,0
0.891027, 0.750023, 0.864026, 1.854057, 4.844023, 0.856901, 0.856901, 4.845710, 0.588393, 1.047782, 1.047782, 0.535516, -0.100000, 0.626953, -0.847656, 1.066406, 128.798706, 124.419868, 0.000000, 0.000000, 0, 0,0
0.891027, 0.741023, 0.873027, 1.836056, 4.845710, 0.839651, 0.839651, 4.867649, 0.529704, 1.045532, 1.045532, 0.543392, -0.100000, 0.156250, -1.287109, 0.876953, 134.790451, 145.314224, -0.070000, 0.000000, 0, 0,0
0.882027, 0.738023, 0.870027, 1.821056, 4.867649, 0.863464, 0.863464, 4.865024, 0.543392, 1.039719, 1.039719, 0.525204, -0.100000, -0.660156, -1.162109, 0.783203, 131.006943, 138.606277, 0.000000, 0.000000, 0, 0,0
0.885027, 0.744023, 0.873027, 1.818056, 4.865024, 0.858401, 0.858401, 4.859586, 0.525204, 1.050970, 1.050970, 0.526516, -0.100000, -0.376953, -1.255859, 0.564453, 133.764740, 151.610291, -72.029999, -0.001816, 0, 0,0
0.879027, 0.732022, 0.870027, 1.803055, 4.859586, 0.858964, 0.858964, 4.861836, 0.526516, 1.047220, 1.047220, 0.524266, -0.100000, 0.343750, -1.255859, 0.814453, 133.965363, 144.857544, -0.070000, 0.000000, 0, 0,0
0.882027, 0.738023, 0.870027, 1.812055, 4.861836, 0.843026, 0.843026, 4.854148, 0.524266, 1.048720, 1.048720, 0.524454, -0.100000, 0.814453, -0.691406, 1.505859, 122.909752, 111.991737, 0.000000, 0.000000, 0, 0,0
0.888027, 0.738023, 0.870027, 1.815055, 4.854148, 0.873964, 0.873964, 4.857336, 0.524454, 1.043094, 1.043094, 0.525204, -0.100000, 0.093750, -1.380859, 0.908203, 134.934128, 146.527191, 0.000000, 0.000000, 0, 0,0
0.882027, 0.747023, 0.864026, 1.860057, 4.857336, 0.855776, 0.855776, 4.861273, 0.525204, 1.043282, 1.043282, 0.524641, -0.100000, -0.439453, 0.062500, 1.066406, 81.985138, 86.898331, 89.949997, 0.000000, 0, 0,0
0.897027, 0.741023, 0.867026, 1.827056, 4.861273, 0.894027, 0.894027, 4.861649, 0.524641, 1.038969, 1.038969, 0.527079, -0.100000, 0.218750, -0.189453, 0.689453, 123.211708, 104.677216, 0.000000, 0.003273, 0, 0,0
0.894027, 0.729022, 0.870027, 1.800055, 4.861649, 0.883527, 0.883527, 4.865211, 0.527079, 1.046657, 1.046657, 0.526704, 0.000000, -0.376953, -0.189453, 0.501953, 114.183151, 106.794052, 0.000000, 0.000000, 0, 0,0
0.897027, 0.753023, 0.864026, 1.809055, 4.865211, 0.905653, 0.905653, 4.862961, 0.526704, 1.085471, 0.526141, 0.526141, -0.100000, 0.031250, -0.408203, 1.630859, 134.916306, 104.049904, -0.070000, 0.000000, 0, 0,0
0.876027, 0.735022, 0.870027, 1.842056, 4.862961, 0.883339, 0.883339, 4.856398, 0.569080, 1.053970, 1.053970, 0.528954, -0.100000, -0.126953, 0.406250, 1.097656, 46.334183, 69.813751, 0.000000, 0.000000, 0, 0,0
0.885027, 0.744023, 0.867026, 1.812055, 4.856398, 0.887840, 0.887840, 4.880024, 0.528954, 1.028844, 1.028844, 0.522578, -0.100000, -0.408203, 0.783203, 0.783203, 48.433971, 48.433971, 107.940002, 0.000000, 0, 0,0
0.891027, 0.741023, 0.870027, 1.836056, 4.880024, 0.870027, 0.870027, 4.859586, 0.522578, 1.048157, 1.048157, 0.527079, 0.000000, 0.218750, 0.375000, 0.814453, 49.180237, 66.026619, 0.000000, 0.000898, 0, 0,0
0.897027, 0.747023, 0.864026, 1.839056, 4.859586, 0.871527, 0.871527, 4.860898, 0.527079, 1.055282, 1.055282, 0.527454, -0.100000, 0.908203, 1.568359, 1.285156, 49.127838, 45.096966, 0.000000, 0.000000, 0, 0,0
0.891027, 0.762023, 0.864026, 1.839056, 4.860898, 0.898152, 0.898152, 4.864274, 0.527454, 1.054157, 1.054157, 0.521828, 0.000000, 0.281250, 1.003906, 0.689453, 46.082050, 36.564873, 17.990000, 0.000000, 0, 0,0
0.891027, 0.759023, 0.864026, 1.833056, 4.864274, 0.873214, 0.873214, 4.865398, 0.521828, 1.048157, 1.048157, 0.530641, -0.100000, 0.312500, 0.783203, 1.285156, 47.114197, 59.367367, -108.010002, 0.000000, 0, 0,0
0.882027, 0.744023, 0.864026, 1.812055, 4.865398, 0.886152, 0.886152, 4.870086, 0.530641, 1.052095, 1.052095, 0.522953, -0.100000, 0.062500, 1.222656, 0.658203, 45.037380, 28.402756, 107.940002, 0.000000, 0, 0,0
0.888027, 0.756023, 0.870027, 1.836056, 4.870086, 0.896277, 0.896277, 4.885462, 0.522953, 1.032032, 1.032032, 0.529704, 0.000000, -0.126953, 1.003906, 0.689453, 45.227253, 34.927219, 0.000000, 0.008313, 0, 0,0
0.882027, 0.753023, 0.864026, 1.839056, 4.885462, 0.875652, 0.875652, 4.872711, 0.529704, 1.045907, 1.045907, 0.529141, -0.100000, 1.222656, 1.537109, 0.970703, 51.952835, 45.444355, -0.070000, 0.000000, 0, 0,0
0.882027, 0.753023, 0.864026, 1.839056, 4.872711, 0.860464, 0.860464, 4.872149, 0.529141, 1.039344, 1.039344, 0.522016, -0.100000, 0.156250, 1.222656, 1.285156, 45.232044, 46.637524, -0.070000, 0.000000, 0, 0,0
0.891027, 0.744023, 0.861026, 1.845056, 4.872149, 0.843401, 0.843401, 4.874961, 0.522016, 1.053970, 1.053970, 0.523703, -0.100000, -0.189453, 1.253906, 0.845703, 45.323311, 34.651112, 0.000000, 0.000000, 0, 0,0
0.888027, 0.744023, 0.867026, 1.833056, 4.874961, 0.816025, 2.059375, 2.059375, 0.571892, 1.057532, 1.057532, 0.536829, -0.200000, 1.003906, 1.568359, 1.724609, 49.894802, 51.834789, -18.059999, 0.000000, 0, 0,0
0.897027, 0.753023, 0.870027, 1.830056, 4.875149, 0.751898, 0.751898, 4.873649, 0.536829, 1.044407, 1.044407, 0.530829, -0.100000, 0.281250, 0.970703, 0.437500, 46.154346, 28.182449, -0.070000, 0.025355, 0, 0,0
0.885027, 0.753023, 0.864026, 1.836056, 4.873649, 0.880527, 0.880527, 4.885837, 0.530829, 1.030906, 1.030906, 0.527266, -0.100000, 1.253906, 0.908203, 1.003906, 59.604309, 60.515724, 17.990000, 0.000000, 0, 0,0
0.894027, 0.747023, 0.867026, 1.815055, 4.885837, 0.860651, 0.860651, 4.879649, 0.527266, 1.047220, 1.047220, 0.526704, -0.100000, 1.097656, 1.568359, 1.160156, 50.672928, 45.520664, -0.070000, 0.000000, 0, 0,0
0.888027, 0.741023, 0.864026, 1.815055, 4.879649, 0.868151, 0.868151, 4.874024, 0.526704, 1.049282, 1.049282, 0.530829, -0.100000, -0.408203, 1.347656, 0.468750, 46.256947, 24.760437, -0.070000, 0.000000, 0, 0,0
0.894027, 0.744023, 0.867026, 1.848056, 4.874024, 0.883527, 0.883527, 4.877212, 0.530829, 1.044969, 1.044969, 0.526141, 0.000000, 0.626953, 1.035156, 0.281250, 49.457993, 33.576622, -0.070000, 0.000000, 0, 0,0
0.882027, 0.753023, 0.873027, 1.860057, 4.877212, 0.857839, 1.997123, 4.875336, 0.561955, 1.070095, 1.070095, 0.540392, -0.100000, -0.691406, 0.533203, 1.974609, 58.588284, 75.702087, -0.070000, 0.040484, 0, 0,0
0.900027, 0.747023, 0.870027, 1.815055, 4.872899, 0.756211, 0.756211, 4.878524, 0.540392, 1.047407, 1.047407, 0.529704, -0.100000, 0.250000, 1.191406, 1.160156, 45.617165, 44.888702, 143.919998, 0.000000, 0, 0,0
0.876027, 0.747023, 0.861026, 1.821056, 4.878524, 0.838713, 0.838713, 4.895774, 0.529704, 1.022469, 1.022469, 0.529891, -0.100000, -1.099609, 1.253906, 1.568359, 53.062294, 56.789936, 143.919998, 0.000000, 0, 0,0
0.891027, 0.738023, 0.867026, 1.824056, 4.895774, 0.851276, 0.851276, 4.882836, 0.529891, 1.039907, 1.039907, 0.531016, -0.100000, 0.187500, 0.406250, 1.568359, 47.761829, 75.576309, 0.000000, 0.000000, 0, 0,0
0.888027, 0.732022, 0.867026, 1.809055, 4.882836, 0.884277, 0.884277, 4.877399, 0.531016, 1.046844, 1.046844, 0.524078, -0.100000, 0.564453, -0.158203, -0.376953, 105.103012, 103.120270, 0.000000, 0.000000, 0, 0,0
0.894027, 0.732022, 0.873027, 1.836056, 4.877399, 0.895527, 0.895527, 4.883399, 0.524078, 1.048532, 1.048532, 0.525579, -0.100000, -1.349609, -0.001953, 0.564453, 90.082909, 90.076492, 0.000000, 0.066664, 0, 0,0
0.888027, 0.747023, 0.864026, 1.857057, 4.883399, 0.903590, 0.903590, 4.887149, 0.525579, 1.050032, 1.050032, 0.526141, -0.100000, -1.287109, 0.501953, 0.876953, 70.032242, 72.136467, 0.000000, 0.000000, 0, 0,0
0.900027, 0.756023, 0.867026, 1.857057, 4.887149, 0.897402, 0.897402, 4.886961, 0.526141, 1.047782, 1.047782, 0.524828, -0.100000, -1.255859, -0.566406, -0.095703, 112.349068, 114.213783, -18.059999, 0.000000, 0, 0,0
0.885027, 0.747023, 0.870027, 1.869057, 4.886961, 0.878652, 0.878652, 4.896150, 0.524828, 1.039719, 1.039719, 0.525579, -0.100000, -1.287109, 0.281250, 1.128906, 77.949615, 80.670906, 161.910004, 0.000000, 0, 0,0
0.885027, 0.732022, 0.867026, 1.848056, 4.896150, 0.849401, 0.849401, 4.882274, 0.525579, 1.046657, 1.046657, 0.526516, -0.100000, 0.312500, -0.126953, 1.630859, 110.625175, 94.371956, -18.059999, 0.000000, 0, 0,0
0.897027, 0.732022, 0.867026, 1.827056, 4.882274, 0.867589, 0.867589, 4.883962, 0.526516, 1.039157, 1.039157, 0.527641, -0.100000, -0.439453, -1.099609, 1.410156, 132.879486, 126.666428, -0.070000, 0.127867, 0, 0,0
0.882027, 0.735022, 0.867026, 1.833056, 4.883962, 0.838713, 0.838713, 4.873086, 0.527641, 1.072720, 0.520516, 0.529516, -0.100000, 1.912109, -0.722656, 0.845703, 109.470062, 109.067139, 0.000000, 0.000000, 0, 0,0
0.885027, 0.726022, 0.870027, 1.845056, 4.873086, 0.834213, 1.191411, 1.191411, 0.529516, 1.056220, 1.056220, 0.522578, -0.100000, 0.406250, -0.535156, 1.316406, 128.537262, 111.228722, -0.070000, 0.000000, 0, 0,0
0.885027, 0.741023, 0.867026, 1.833056, 4.853398, 0.749648, 0.749648, 4.868399, 0.522578, 1.032594, 1.032594, 0.526141, -0.100000, 0.375000, -0.628906, 1.035156, 130.659348, 119.735878, 179.899994, 0.000000, 0, 0,0
